sample	AMIKACIN	AMINOGLYCOSIDE	APRAMYCIN	AZITHROMYCIN	BETA-LACTAM	BLEOMYCIN	CEFTAROLINE	CEPHALOSPORIN	CHLORAMPHENICOL	CLARITHROMYCIN	CLINDAMYCIN	DAPTOMYCIN	ERYTHROMYCIN	FLORFENICOL	FOSFOMYCIN	FUSIDIC ACID	FUSIDIC_ACID	GENTAMICIN	KANAMYCIN	LINCOMYCIN	LINCOSAMIDE	LINEZOLID	METHICILLIN	MUPIROCIN	PRISTINAMYCIN	QUATERNARY AMMONIUM	QUINOLONE	RIFAMPIN	SPECTINOMYCIN	SPIRAMYCIN	STREPTOGRAMIN	STREPTOGRAMIN B	STREPTOMYCIN	STREPTOTHRICIN	SULFONAMIDE	TELITHROMYCIN	TETRACYCLINE	TOBRAMYCIN	TRIMETHOPRIM	TYLOSIN
17059_1#72	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	R	S	R	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#61	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
17059_1#60	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	R	S	R	R	S	S	S	S	R	S	S	S	S	R	S	R	R
17059_1#62	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
17059_1#75	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_2#44	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	R	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#43	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	R	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#46	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
16870_2#47	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
18090_5#14	R	S	S	S	R	S	S	S	S	S	R	R	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_2#51	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_2#53	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#54	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#52	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#57	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
18090_5#15	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_2#60	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#59	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#62	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#61	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#67	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_2#68	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_2#75	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_2#76	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_2#74	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	S	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_2#78	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
18090_5#17	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_2#80	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	R	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
16870_2#81	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	R	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
16870_3#41	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	S	S	S	S	S	R	S	R	S
16870_3#42	S	S	S	S	R	S	S	S	S	S	R	S	R	S	S	S	S	S	S	S	S	R	R	S	S	S	R	S	S	S	S	R	S	S	S	S	R	S	R	R
16870_3#43	R	S	S	S	R	S	S	S	S	S	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	S	S	S	R	S	S	S	S	R	R	S	R
16870_3#2	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
16870_3#3	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
