sample	AMIKACIN	AMINOGLYCOSIDE	APRAMYCIN	AZITHROMYCIN	BETA-LACTAM	BLEOMYCIN	CEFTAROLINE	CEPHALOSPORIN	CHLORAMPHENICOL	CLARITHROMYCIN	CLINDAMYCIN	DAPTOMYCIN	ERYTHROMYCIN	FLORFENICOL	FOSFOMYCIN	FUSIDIC ACID	FUSIDIC_ACID	GENTAMICIN	KANAMYCIN	LINCOMYCIN	LINCOSAMIDE	LINEZOLID	METHICILLIN	MUPIROCIN	PRISTINAMYCIN	QUATERNARY AMMONIUM	QUINOLONE	RIFAMPIN	SPECTINOMYCIN	SPIRAMYCIN	STREPTOGRAMIN	STREPTOGRAMIN B	STREPTOMYCIN	STREPTOTHRICIN	SULFONAMIDE	TELITHROMYCIN	TETRACYCLINE	TOBRAMYCIN	TRIMETHOPRIM	TYLOSIN
10396_6#41	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	R	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10396_6#74	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	R	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10396_6#82	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	S	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10396_6#92	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	S	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10396_6#93	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	S	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#33	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#34	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#35	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#36	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#37	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#38	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#39	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#40	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#41	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#42	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#43	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#44	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#45	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#46	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#47	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#48	R	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	R	R	S	S	S	R	S	S	R	R	S	R	S	S	S	R	R	R	R	R	R	R	S
10456_3#49	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#50	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#51	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#52	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#53	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#54	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#55	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#56	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#57	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#58	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
10456_3#59	S	S	S	R	R	S	S	S	S	R	R	S	R	S	R	S	S	S	S	S	S	S	R	S	S	S	R	R	R	S	S	S	S	S	R	R	R	S	R	S
